timestamp,author_1,author_2,conversation_id,respondent_id,interaction_count,llm_type,condition,source_conversation_id,turn,starter,author_1_text_qc_char_count,author_1_text_qc_nonspace_chars,author_1_text_qc_letter_chars,author_1_text_qc_word_chars,author_1_text_qc_word_count,author_1_text_qc_alpha_ratio,author_1_text_qc_symbol_ratio,author_1_text_qc_keyboard_pattern_ratio,author_1_text_qc_word_vowel_ratio,author_1_text_qc_long_no_vowel_tokens,author_1_text_qc_longest_token_chars,author_1_text_qc_flagged,author_1_text_qc_reasons,text_qc_flagged,text_qc_reasons,author_1_raw,author_1_edit_distance,spell_correction_excessive_edit,author_1_type,author_2_type,starter_side,starter_type,complete_exchange,analysis_turn,author_1_surprise,author_2_surprise,author_1_surprise_raw,author_2_surprise_raw,author_1_entropy,author_2_entropy,author_1_transience,author_2_transience,author_1_transience_raw,author_2_transience_raw,author_1_transience_baseline,author_2_transience_baseline
2025-11-13 12:34:34.539000+00:00,There once was a young woman who had trust issues. She had been betrayed by her ex-boyfriend who cheated on her.,"with her best friend, leaving her feeling shattered and vulnerable. The experience had made her wary of opening up to anyone new, and she found herself constantly questioning the motives of those",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,1.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,1.0,author_1,111.0,91.0,89.0,89.0,22.0,0.978021978021978,0.0219780219780219,0.0,1.0,0.0,9.0,False,,False,,There once was a young woman who had trust issues. She had been betrayed by her ex-boyfriend who cheated on her,1,False,human,ai,author_1,human,True,,0.0,-2.002814592633928,3.55529541015625,2.1096993582589287,88.88238525390625,73.8394775390625,2.002814592633928,-0.1803273168103452,2.1096993582589287,4.530542834051724,4.112513950892857,4.710870150862069
2025-11-13 12:36:05.046000+00:00,who claimed they loved her. This made her hard to reach but also very lonely. She was lonely like this for many years but finally she decided,"to take a chance and start attending social events again, hoping to meet someone who could help her heal and learn to trust once more. It was at one of these events,",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,2.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,2.0,author_1,141.0,115.0,113.0,113.0,27.0,0.982608695652174,0.017391304347826,0.0,1.0,0.0,7.0,False,,False,,who claimed they loved her. This made her hard to reach but also very lonely. She was lonely like this for many years but finally she decided,0,False,human,ai,author_1,human,True,1.0,-1.171134159482759,-2.412681361607143,4.530542834051724,2.074135044642857,131.3857421875,72.5947265625,0.9636300223214285,-0.6233452690972219,2.074135044642857,3.6662959346064814,3.0377650669642855,4.289641203703703
2025-11-13 12:37:38.170000+00:00,that she met another young woman just like herself who also had trust issues. They met many times without ever talking much or becoming close.,"until one evening, when they both found themselves sitting alone at a small café, each lost in their own thoughts. The atmosphere was quiet and intimate, and somehow, it seemed",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,3.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,3.0,author_1,145.0,120.0,118.0,118.0,26.0,0.9833333333333332,0.0166666666666666,0.0,1.0,0.0,8.0,False,,False,,that she meet another young woman just like her self who also had trust issues. They meet many times without ever talking much or becoming close.,3,False,human,ai,author_1,human,True,2.0,-2.2445836950231484,-1.7327008928571428,3.6662959346064814,2.158412388392857,98.989990234375,75.54443359375,0.9943987165178569,-0.41151529947916643,2.158412388392857,2.3478597005208335,3.152811104910714,2.759375
2025-11-13 12:39:04.145000+00:00,as if they were destined to meet. They started talking and soon found out they had a lot in common. They started meeting more and over time they,"developed a deep and meaningful connection, one that was built on mutual understanding and respect. They shared their stories, their fears, and their dreams with each other, and as",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,4.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,4.0,author_1,145.0,118.0,116.0,116.0,28.0,0.9830508474576272,0.0169491525423728,0.0,1.0,0.0,8.0,False,,False,,as if they where destined to meet. They started talking and soon found out they had a lot in common. They started meeting more and over time they,1,False,human,ai,author_1,human,True,3.0,-1.914056396484375,-1.9110735724954044,2.3478597005208335,1.4336799172794117,70.435791015625,48.7451171875,0.8884708180147061,0.9044325086805554,1.4336799172794117,5.432318793402778,2.3221507352941178,4.527886284722222
2025-11-13 12:40:11.365000+00:00,time when their connection became more than just friendship it became love. For a long time they,"had been afraid to acknowledge the true nature of their feelings, fearing that it might ruin the beautiful bond they had established. But as they looked into each other's eyes, they",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,5.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,5.0,author_1,100.0,83.0,82.0,82.0,18.0,0.9879518072289156,0.0120481927710843,0.0,1.0,0.0,10.0,False,,False,,time whent on their connection became more than just friendship it became love. For a long time they,4,False,human,ai,author_1,human,True,4.0,-0.7565375434027777,-1.673954857720269,5.432318793402778,1.9662034776475694,97.78173828125,70.7833251953125,0.8753390842013891,-0.30177490234374993,1.9662034776475694,4.15477783203125,2.8415425618489585,4.456552734375
2025-11-13 12:41:41.674000+00:00,knew exactly what the other person was feeling. They finally burst free of their prisons of isolation and opened up for love.,"and allowed themselves to be vulnerable, to trust, and to surrender to the beauty of their relationship. As they embraced each other, they felt a sense of freedom and joy that",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,6.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,6.0,author_1,126.0,105.0,104.0,104.0,22.0,0.9904761904761904,0.0095238095238095,0.0,1.0,0.0,9.0,False,,False,,knew excaktly what the other person was feeling. They finally burst free of their prisons of isolation and oppened up for love,4,False,human,ai,author_1,human,True,5.0,-2.18069091796875,-1.901461356026786,4.15477783203125,1.8505475725446427,103.86944580078125,64.7691650390625,0.5653756277901787,-0.26769055818256504,1.8505475725446427,4.377961811266448,2.4159232003348214,4.645652369449013
2025-11-13 12:42:58.048000+00:00,they hadn't felt in ages. However they were out of training in trusting and their relationship,"was put to the test as they navigated the complexities of intimacy, communication, and compromise. They stumbled upon old patterns and fears, but this time, they had each other",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,7.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,7.0,author_1,97.0,82.0,80.0,80.0,17.0,0.975609756097561,0.024390243902439,0.0,0.9411764705882352,0.0,13.0,False,,False,,they haden't felt in ages. However they where out of training in trusting and their relationsship,3,False,human,ai,author_1,human,True,6.0,-3.3602375231291113,-1.8072913674747242,4.377961811266448,2.270529354319853,83.1812744140625,77.197998046875,0.9272532743566178,-0.6281622023809526,2.270529354319853,3.4092261904761907,3.1977826286764706,4.037388392857143
2025-11-13 12:44:29.885000+00:00,. They were determined to not let this relationship be destroyed as well and in the end they succeeded. They,"built a life together, one that was filled with love, laughter, and a deep understanding of each other's strengths and weaknesses. They proved to themselves that they were capable of",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,8.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,8.0,author_1,108.0,89.0,87.0,87.0,19.0,0.9775280898876404,0.0224719101123595,0.0,1.0,0.0,12.0,False,,False,,. They where determined to not let this relationship be destroyed as well and in the end they succeded. They,2,False,human,ai,author_1,human,True,7.0,-2.3046875,-2.192799250284831,3.4092261904761907,1.3474932776557074,71.59375,48.50975799560547,0.6130608452690973,-0.641530354817708,1.3474932776557074,4.371002197265625,1.9605541229248047,5.012532552083333
2025-11-13 12:46:03.031000+00:00,overcoming obstacles and regaining trust in humans. Their relationship also allowed them to open more up to other humans and form meaningful,"connections with others, and as they looked back on their journey, they realized that their love had been the catalyst for a profound transformation, one that had brought healing, growth,",conv_006cb479-ccd3-40d1-83fb-4b614573f636,A89X12UN9Y1T,9.0,3,human-ai,conv_006cb479-ccd3-40d1-83fb-4b614573f636,9.0,author_1,140.0,119.0,118.0,118.0,22.0,0.9915966386554622,0.0084033613445378,0.0,1.0,0.0,12.0,False,,False,,overcoming obstacles and regaining trust i humans. Their relationship also allowed them to open more up to other humans and form meaningfull,2,False,human,ai,author_1,human,True,8.0,-2.236490885416667,-2.458098493303571,4.371002197265625,1.522412109375,104.904052734375,53.284423828125,0.5983642578125001,,1.522412109375,,2.1207763671875,
2026-02-26 16:39:58.971000+00:00,Outside her window the storm was raging. Trees moving mechanically in the wind under the loud drumming sound of water drops falling.,"Outside her window, the storm was raging. Trees moved mechanically in the wind, the loud drumming of water drops falling against the glass. Inside, the house was quiet,",conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,6TPD1ZJ84YUA,1.0,4,human-ai,conv_02b6fce3-98d8-456f-b0e8-3708b9ca1968,1.0,author_1,131.0,110.0,109.0,109.0,22.0,0.990909090909091,0.009090909090909,0.0,1.0,0.0,12.0,False,,False,,Outside her window the storm was raging. Trees moving mechanically in the wind under the loud drumming sound of water drops falling,1,False,human,ai,author_1,human,True,,0.0,-2.913527544806985,6.7222900390625,2.066022087545956,161.3349609375,70.2447509765625,2.913527544806985,-0.1771240234375,2.066022087545956,4.292012532552083,4.979549632352941,4.469136555989583
